rental_type,complex_name,district,address,address_norm,house_type,building_form,completion_year,unit_type,area_exclusive_m2,room_count,household_count,unit_count,elevator,parking_count,heating_type,eligibility_summary,supply_class,income_bracket,household_size,protection_type,unit_no,priority_rank,deposit_krw,rent_krw,lat,lon,geocode_precision,geocode_shift_m,pnu,anchor_lat,anchor_lon,anchor_dist_m,anchor_score,hospital_dist_m,hospital_score,library_dist_m,library_score,mart_dist_m,mart_score,park_dist_m,park_score,sports_dist_m,sports_score,subway_dist_m,subway_score,daycare_dist_m,daycare_score,kindergarten_dist_m,kindergarten_score,elementary_dist_m,elementary_score,middle_school_dist_m,middle_school_score,high_school_dist_m,high_school_score,cafe_cnt_750m,cafe_score,convenience_cnt_750m,convenience_score,gym_cnt_750m,gym_score,laundry_cnt_750m,laundry_score,vet_cnt_750m,vet_score,study_cafe_cnt_750m,study_cafe_score,restaurant_cnt_750m,restaurant_score,bakery_cnt_750m,bakery_score,hair_salon_cnt_750m,hair_salon_score,pharmacy_cnt_750m,pharmacy_score,store_total_750m,noise_store_750m,noise_ratio,bustle_pct,noise_pct,vibe_t,vibe_score
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,17.01,1,19,1,설치,10,,무주택 일반,,,,,204,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,17.01,1,19,1,설치,10,,무주택 일반,,,,,203,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,24.89,1,19,1,설치,10,,무주택 일반,,,,,202,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,17.01,1,19,1,설치,10,,무주택 일반,,,,,504,,6486000,41000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,22.59,1,19,1,설치,10,,무주택 일반,,,,,505,,6486000,41000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,17.01,1,19,1,설치,10,,무주택 일반,,,,,503,,6486000,41000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,24.89,1,19,1,설치,10,,무주택 일반,,,,,502,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,28.1,1,19,1,설치,10,,무주택 일반,,,,,501,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,15.21,1,19,1,설치,10,,무주택 일반,,,,,405,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
매입임대,명성갤러리3,수영구,"부산광역시 수영구 수영로606번길 100(광안동,명성갤러리3)",부산광역시 수영구 수영로606번길 100,다세대주택,,2018,,17.01,1,19,1,설치,10,,무주택 일반,,,,,404,2,2170000,162000,35.1588173,129.1189826,Google 건물번지,160,2.65001E+18,,,,,740,1,1651,1,761,0.9941,634,1,1594,0.5749,699,1,275,1,348,1,358,1,223,1,2089,0.4429,101,1,36,0.8077,13,0.7692,24,0.9615,0,0,5,0.6538,438,0.8462,26,0.9359,97,0.6795,0,0.359,1727,196,0.1135,0.8974,0.5897,,
